"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSGRN01","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGREP01","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_14_N","PR_14_Y","PR_15_N","PR_15_Y","PR_16_N","PR_16_Y","PR_17_N","PR_17_Y","PR_18_N","PR_18_Y","PR_19_N","PR_19_Y","PR_20_N","PR_20_Y","PR_21_N","PR_21_Y","PR_22_N","PR_22_Y","PR_23_N","PR_23_Y","PR_24_N","PR_24_Y","PR_25_N","PR_25_Y","SENAIP01","SENDEM01","SENDEM02","SENLIB01","SENREP01"
"31","0160601","6","4","4","1","1068","0","0","0","0","0","0","0","0","0","891","0","0","0","0","0","0","0","0","0","0","0","389","0","0","0","0","438","0","421","0","431","3","424","1","18","0","422","448","391","498","358","595","256","479","387","601","261","432","402","455","385","523","326","277","580","585","265","420","418","539","299","0","0","0","0","0"
"31","0160603","6","4","4","1","5904","0","0","0","0","0","0","0","0","0","4701","0","0","0","0","0","0","0","0","0","0","0","2110","0","0","0","0","2195","0","2297","0","2154","16","2249","21","99","11","2227","2347","2047","2716","1797","3107","1331","2354","2154","3023","1486","2167","2239","2608","1782","2900","1514","1531","2921","3061","1359","2056","2282","2665","1683","0","0","0","0","0"
"31","0160609","6","4","4","1","4381","0","0","0","0","0","0","0","0","0","3789","0","0","0","0","0","0","0","0","0","0","0","1611","0","0","0","0","1906","0","1773","0","1846","11","1784","23","77","2","1823","1962","1630","2250","1367","2493","1076","1960","1656","2511","1152","1749","1786","2061","1468","2374","1191","1199","2387","2498","1064","1620","1904","2236","1264","0","0","0","0","0"
"31","0160610","6","4","4","1","9861","0","0","0","0","0","0","0","0","0","8585","0","0","0","0","0","0","0","0","0","0","0","3430","0","0","0","0","4571","0","3809","0","4426","14","3935","15","153","12","4303","4626","3460","5373","2924","6010","2223","4729","3537","5838","2455","4255","3876","4508","3560","5818","2302","2589","5647","5913","2193","3903","4139","5369","2649","0","0","0","0","0"
"31","0160615","6","4","4","1","8865","0","0","0","0","0","0","0","0","0","7946","0","0","0","0","0","0","0","0","0","0","0","3555","0","0","0","0","3874","0","3966","0","3672","23","4068","22","124","8","3590","4096","3496","4672","3000","5096","2452","4251","3414","5227","2484","3546","3946","4090","3368","5317","2199","2361","5234","5421","2116","3383","4073","4754","2646","0","0","0","0","0"
"31","0160618","6","4","4","1","374","0","0","0","0","0","0","0","0","0","324","0","0","0","0","0","0","0","0","0","0","0","114","0","0","0","0","186","0","128","0","179","0","139","0","10","1","168","183","118","225","83","241","64","178","134","213","101","177","121","155","150","226","76","87","223","226","80","149","150","203","98","0","0","0","0","0"
"31","0160623","6","4","4","1","342","0","0","0","0","0","0","0","0","0","302","0","0","0","0","0","0","0","0","0","0","0","130","0","0","0","0","138","0","152","0","132","2","154","1","5","0","137","147","129","145","135","178","100","144","140","181","98","123","157","159","114","191","87","83","193","178","100","106","168","168","102","0","0","0","0","0"
"31","0160624","6","4","4","1","8051","0","0","0","0","0","0","0","0","0","7234","0","0","0","0","0","0","0","0","0","0","0","2731","0","0","0","0","4036","0","3077","0","3906","20","3262","23","89","5","3699","4231","2693","4678","2304","5089","1839","4190","2801","5077","1941","3611","3184","3417","3399","5104","1811","1962","4998","5353","1568","3752","3038","4555","2246","0","0","0","0","0"
"31","0160632","6","4","4","1","10433","0","0","0","0","0","0","0","0","0","9328","0","0","0","0","0","0","0","0","0","0","0","3807","0","0","0","0","4861","0","4276","0","4665","24","4479","27","120","11","4524","5065","3753","5735","3291","6223","2649","5197","3766","6252","2747","4562","4213","4509","4233","6489","2318","2648","6258","6577","2254","4641","4065","5667","3003","0","0","0","0","0"
"31","0160644","6","4","4","1","7396","0","0","0","0","0","0","0","0","0","6539","0","0","0","0","0","0","0","0","0","0","0","2838","0","0","0","0","3248","0","3187","0","3072","15","3262","19","105","11","3041","3379","2837","3765","2545","4155","2111","3438","2869","4193","2148","2972","3182","3350","2807","4333","1857","2054","4205","4283","1940","2848","3308","3800","2290","0","0","0","0","0"
"31","0160652","6","4","4","1","1093","0","0","0","0","0","0","0","0","0","1004","0","0","0","0","0","0","0","0","0","0","0","356","0","0","0","0","571","0","393","0","559","2","420","2","11","0","543","598","354","677","288","720","238","610","352","735","233","541","400","472","474","741","208","245","714","743","204","497","436","651","285","0","0","0","0","0"
