"county","srprec","city","n_in_city","n"
"31","0160601","ROSEVILLE","1080","1080"
"31","0160603","ROSEVILLE","5940","5940"
"31","0160609","ROSEVILLE","4419","4419"
"31","0160610","ROSEVILLE","9881","9881"
"31","0160615","ROSEVILLE","8903","8903"
"31","0160618","ROSEVILLE","373","373"
"31","0160623","ROSEVILLE","356","356"
"31","0160624","ROSEVILLE","8061","8062"
"31","0160632","ROSEVILLE","10460","10460"
"31","0160644","ROSEVILLE","7488","7488"
"31","0160652","ROSEVILLE","1092","1092"
"31","0160655","ROSEVILLE","629","629"
"31","0161001","ELVERTA","280","280"
"31","0161003","ROSEVILLE","682","684"
"31","0161005","ROSEVILLE","3251","3251"
"31","0251401","NEWCASTLE","1","1"
"31","0260301","LINCOLN","6823","6823"
"31","0260303","LINCOLN","7935","7935"
"31","0260308","LINCOLN","7637","7637"
"31","0260322","LINCOLN","4899","4899"
"31","0260325","LINCOLN","6419","6419"
"31","0260501","ROCKLIN","10042","10042"
"31","0260508","ROCKLIN","5798","5798"
"31","0261001","PLEASANT GROVE","53","97"
"31","0261002","ELVERTA","35","40"
"31","0261003","PLEASANT GROVE","18","38"
"31","0261102","SHERIDAN","869","1469"
"31","0261103","LINCOLN","1082","1593"
"31","0261207","LINCOLN","1063","1070"
"31","0261310","LINCOLN","735","945"
"31","0261323","AUBURN","291","313"
"31","0261330","LINCOLN","1","1"
"31","0261332","LINCOLN","6","6"
"31","0312201","AUBURN","3574","3574"
"31","0312208","AUBURN","133","133"
"31","0351701","NEWCASTLE","848","1096"
"31","0351801","NEWCASTLE","1881","1937"
"31","0351901","NEWCASTLE","71","71"
"31","0351903","AUBURN","610","1190"
"31","0352105","AUBURN","326","326"
"31","0352106","AUBURN","654","654"
"31","0352107","AUBURN","231","231"
"31","0352129","NEWCASTLE","135","144"
"31","0360401","LOOMIS","172","180"
"31","0360402","LOOMIS","4626","4626"
"31","0360404","LOOMIS","22","22"
"31","0360410","LOOMIS","177","177"
"31","0360501","ROCKLIN","9901","9901"
"31","0360505","ROCKLIN","1115","1116"
"31","0360506","ROCKLIN","106","106"
"31","0360512","ROCKLIN","9529","9529"
"31","0360523","ROCKLIN","9050","9057"
"31","0361301","AUBURN","24","24"
"31","0361501","LOOMIS","2378","2550"
"31","0361503","LOOMIS","1521","1771"
"31","0361504","LOOMIS","125","150"
"31","0361510","NEWCASTLE","125","125"
"31","0361511","PENRYN","1921","2596"
"31","0361712","NEWCASTLE","84","165"
"31","0361801","NEWCASTLE","159","168"
"31","0460601","ROSEVILLE","7775","7775"
"31","0460604","ROSEVILLE","210","210"
"31","0460607","ROSEVILLE","6409","6409"
"31","0460619","ROSEVILLE","3264","3264"
"31","0460622","ROSEVILLE","1892","1892"
"31","0460625","ROSEVILLE","10586","10586"
"31","0460626","ROSEVILLE","1509","1509"
"31","0460637","ROSEVILLE","4472","4472"
"31","0462301","ROSEVILLE","626","626"
"31","0462308","ROSEVILLE","480","490"
"31","0462401","GRANITE BAY","10161","10207"
"31","0462413","GRANITE BAY","2820","2820"
"31","0462415","GRANITE BAY","1951","2528"
"31","0462419","GRANITE BAY","343","350"
"31","0510101","AUBURN","1","1"
"31","0510102","AUBURN","6","6"
"31","0510201","COLFAX","1217","1217"
"31","0512201","AUBURN","30","30"
"31","0512501","AUBURN","4560","4560"
"31","0512509","AUBURN","1817","1817"
"31","0512511","MEADOW VISTA","2949","4447"
"31","0512513","AUBURN","1448","1448"
"31","0512518","AUBURN","23","23"
"31","0512527","AUBURN","533","533"
"31","0512529","AUBURN","913","913"
"31","0512601","FORESTHILL","15","17"
"31","0512602","FORESTHILL","343","343"
"31","0512603","FORESTHILL","4180","4180"
"31","0512608","COLFAX","2","2"
"31","0512717","COLFAX","2730","4017"
"31","0512803","MEADOW VISTA","675","1080"
"31","0512901","COLFAX","2353","3579"
"31","0513001","COLFAX","50","52"
"31","0513201","TRUCKEE","287","287"
"31","0513203","TRUCKEE","686","686"
"31","0513301","TAHOE CITY","2204","4215"
"31","0513614","KINGS BEACH","1583","3514"
"31","0513617","TAHOE CITY","172","172"
"31","0513801","SODA SPRINGS","181","181"
"31","0513902","EMIGRANT GAP","2","2"
"31","0550101","AUBURN","10011","10011"
"31","0550105","AUBURN","21","21"
"31","0550112","AUBURN","145","145"
"31","0551901","AUBURN","15","15"
"31","0552201","AUBURN","5","5"
"31","0562201","AUBURN","398","398"
"31","0562205","AUBURN","724","724"
"31","0562503","AUBURN","442","442"
"31","0562505","AUBURN","77","77"
"31","0562506","AUBURN","181","181"
